Etablissements Cazal,Ritvik Dixon,pl Général de Gaulle; Ploudalmezeau,48.541996,-4.660328865
Rectification Remoise E.u.r.l.,Kerstin Clarke,ZA de Pen Ar Ménez,48.37467957,-4.643864155
Entreprise Rey Claude,Ritvik Raji,pl Commerce; Plouzané,48.37204742,-4.590544224
S.d.r.p. Transports Le Jan S.a.r.l.,Gabriel Schneider,Kerebars 29820 Guilers,48.4249115,-4.576271057
Maille Diffusion S.a.r.l.,Vanessa Mittal,"40, Rue Jim Sevellec, 29200 Brest",48.36576462,-4.54817009
Servifrais S.a.,Harry Fischer,5 Rue Pierre Rivoalon 29200 Brest,48.36594391,-4.546274185
Erimo S.a.r.l.,Ritvik Phillips,"5, Rue Pierre Rivoalon, 29200 Brest",48.36594391,-4.546274185
Barthélémy Jean S.a.r.l.,Kevin Nath,49 Rue Dupuy De L'Ome 29200 Brest,48.38993454,-4.511905193
E.m.a. S.a.r.l. - Elec Master Automation,Louise Roux,18 Place Napoléon III; Brest,48.40373993,-4.507627964
D.c.m. S.a.r.l. - Distribution Construction Mécanique,Emma Schmidt,1 pl de l'Eglise; Plouguerneau; 29880,48.60662842,-4.507289887
Torralbo Frères S.a.r.l.,René Lefèvre,Kerives 29860 Bourg Blanc,48.49549484,-4.503979206
Marin's S.a.r.l.,Frank Chande,26 R. De L'Eau Blanche 29200 Brest,48.4081192,-4.499549866
Mcp,Mathis Clarke,"20, Ruer Nicéphore Niepce, 29200 Brest",48.42599869,-4.490307808
L'application Du Bois S.a.r.l.,Vihaan Wright,Z.A. Hellez 29880 PLOUGUERNEAU,48.60513687,-4.489879131
Cegip Service E.u.r.l.,Vanessa Green,19 rue de Lyon; Brest; 29273,48.38788223,-4.48705101
Lamy Lutti,Monika Kishore,16 Quai De La Douane 29200 Brest,48.38235092,-4.486301899
Juston Ainé Fils S.a.r.l.,Manuela Suri,"B.P. 151, 29803 Brest Cédex, 4, Rue Kerbernard, 29200 Brest",48.39023972,-4.486227989
G.p.m. S.a.r.l. - Gestion Présence Production,Dominik Raman,"B.P. 20413, 29604 Brest Cédex, ZI Portuaire, 29200 Brest",48.39023972,-4.486227989
Erimo S.a.r.l.,Silke Engineer,"B.P. 435, 29275 Brest Cédex, Espace Grand Large, 29200 Brest",48.39023972,-4.486227989
Etablissements Peau Père Et Fils S.a.,Lilou Bhat,"B.P. 6, 29801 Brest Cédex, 3, Bd Gabriel Lippmann, 29200 Brest",48.39023972,-4.486227989
Bonnet Henri Georges Elie,Dhruv Schneider,Espace Grand Large,48.39023972,-4.486227989
Métallerie L.a.o.l. S.a.r.l.,Eva Taylor,"8, Rue de Kerbernard - ZI de Kergonan, 29200 Brest",48.39023972,-4.486227989
Etablissements Royer S.a.,Diya Schmidt,"BP 117, 19 rue Romain Desfossées, 29802 Brest Cedex, Dept 29",48.39022827,-4.486219883
"Société Foncière, Financière Et De Participations Sa",Sabine Mercier,Brest,48.39022827,-4.486219883
Entreprise Cortinovis S.a.,Kristin Nita,50 rue du Château; Brest; 29601,48.38774109,-4.485431194
Image De Paris Sarl,Arnav Evans,50 rue du Château; Brest,48.38774109,-4.485431194
Cat Ferme De Thubeauville,Siya Girard,"43, Rue Voltaire, 29200 Brest",48.38642502,-4.48479414
Colas Sud Ouest,Krishna Nita,"2, Rue de l'Amiral Nielly, 29200 Brest",48.38328934,-4.484762192
T.m.c. S.a.r.l. - Todo Modo Conseil,Heike Schneider,"47, Rue Yves Collet, 29200 Brest",48.39271164,-4.479238033
Linéa Concept S.a.r.l.,Jörg Schmidt,"21, Rue Jurien de la Gravière, 29200 Brest",48.38611603,-4.476638794
Leclercq Philippe,Isla Becker,6 rue Paul Sabatier 29850 GOUESNOU,48.42928696,-4.463993073
Laboratoires N.p.c. S.a.,Ananya LLoyd,Rue Alexis Clairaut 29200 Brest,48.41500854,-4.463008881
Menport Sarl,Léa Weber,"62, Av. du Baron Lacrosse, 29850 Gouesnou",48.43199158,-4.455539227
Upright Electronique S.a.r.l.,Mandy Sethi,ZA Penhoat,48.50213623,-4.426448822
Métallic 80 S.a.r.l.,Riley Lefèvre,Kerbrezan 29880 Guisseny,48.63395691,-4.398409843
Etablissements Blanchet S.a.r.l.,Jessica Rana,Le Relecq-Kerhuon,48.40800858,-4.398230076
S.e.t.g S.a.r.l. - Société D'exploitation Des Transports Gonzalvez,Ulrich Thomas,"21, Rue du Pont, 29470 Plougastel Daoulas",48.37728882,-4.372003079
U.c.i.o. S.a. - Union Chimique Et Industrielle De L'ouest,Angelika Nath,"6, Rue du Pont, 29470 Plougastel Daoulas",48.37563705,-4.370007992
Groupe Midi Libre Publicité,Ananya Robertson,Rue du Pere Gwenael 29470 PLOUGASTEL DAOULAS,48.3818779,-4.358745098
KeepAnEye.tv,Diya Malik,Lanveur 29890 Kerlouan,48.64326477,-4.354138851
Sca Des Vignobles De La Grande Seouve S.a.r.l.,Jennifer Ali,41 rue Berthelot; Douarnenez,48.09130859,-4.330798149
Banque Nationale De Paris,Karin Verma,Terre Plein Du Port 29172 Douarnenez Cedex,48.09032822,-4.330659866
Etablissement J.bastiat S.a.s.,Aarush Harvey,ZI Pouldavid,48.09239578,-4.330424786
Transitas S.a.r.l.,Alfie Murphy,ZI de Mescoden,48.53655243,-4.311224937
Groupecyber Centre Ouest S.a.,Riya Srini,"B.P. 47, 29730 Guilvinec, 69, Rue Jean Baudry, 29730 Guilvinec",47.79564285,-4.273703098
Banque Nationale De Paris,Camille Wagner,13 rue La Tour d'Auvergne; Landerneau,48.45219803,-4.247275829
Villanova Ship,Aarush Garcia,120 Rue Edmond Michelet Route De La Petite Palud,48.40029526,-4.228497028
Pascal Matériaux Et Occasions S.a.r.l.,Anja Martin,B.P. 53,48.40029526,-4.228497028
Sofymétal S.a.,Lily Brown,Pont Ar Bled BP 138 29800 Plouedern,48.47452927,-4.215138912
Silogic S.a.,Emma Jones,"B.P. 38, 29430 Plouescat, 2, Rue du Menhir, 29430 Plouescat",48.57970428,-4.210683823
M Sas Global Logistics France S.a.,Kayaan Mason,"B.P. 4, 29180 Locronan, Rte de Douarnenez, 29180 Locronan",48.04267502,-4.206064224
Courriers Automobiles S.a. - Anciennement Mugler Et Compagnie,Ayaan Laurent,Manoir De Band 29440 Plouzévédé,48.54758835,-4.182647228
Copin Fils Cop'enseignes,Arjun Murphy,Kergaradel 29440 Tréflaouénan,48.54758835,-4.182647228
Renault France Automobiles,Kayaan Pal,11 Place Foires 29590 Le Faou,48.29385376,-4.178071976
Hugoniot Fernand S.a.r.l.,Louis Davies,Kergadarec 29440 TREFLAOUENAN,48.62072372,-4.126103878
Société Nouvelle Impression Saint Jean S.a.,Kristin Patel,1 Hameau De Quinquis 29400 Bodilis,48.49666595,-4.123569012
Sport Diffusion Jacques Pascal Sa,Frank Garcia,17 Rue Du Poher 29000 Quimper,47.98472977,-4.110373974
U.c.a.c.e.l.,Christian Richard,"B.P. 617, 29551 Quimper Cédex 9, ZA de Kérourvois Sud, 29000 Quimper",47.99468994,-4.107946873
Etablissements Eugène Salczer S.a.,Tim Campbell,"29334 Quimper Cédex, 13, Rue du Muguet, 29000 Quimper",47.99468994,-4.107946873
Kurtz France S.a.r.l.,Jonas Wilson,Rue Galilée,47.99468994,-4.107946873
Sopartex S.a.,Sophie Mittal,"31, Rue du Frugy, 29000 Quimper",47.98818588,-4.10642004
Geholit S.a.r.l.,Aarohi Bhat,Odet Ergué-Gabéric 29556 Quimper Cedex 9,47.99592972,-4.099860191
G.p.a. S.a.r.l.,Lucas Subram,24 Rue Notre Dame 29150 CHATEAULIN,48.1951561,-4.097959995
M'mode Hw,Pari Mason,11 quai Jean Moulin; Châteaulin; 29150,48.19563675,-4.09369278
Entreprise Cortinovis S.a.,Tim Johnson,"B.P. 624, 29551 Quimper Cédex, 3, Rue Hent Glaz - ZI de l'Hippodrome, 29000 Quimper",47.99599075,-4.092477799
Est Aciers Industrie S.a.,Darsh Raje,ZI de Lospars,48.19646454,-4.091959
Garin Sa,Kyra Durand,"20, Quai Charles de Gaulle, 29150 Châteaulin",48.19649124,-4.091492176
Sofanou Sa,Kerstin Evans,"9, Allée Claude Dervenn, 29000 Quimper",47.97730255,-4.083788872
